id,verb,label_original,label_suggere,action,nb_items
3,manage,Manage and interact with relational and NoSQL database systems,,KEEP,12
8,manage,Manage and synchronize project source code using distributed version control,,KEEP,12
10,manage,Manage automated build and deployment workflows for software applications,,KEEP,12
25,manage,Manage and execute automated testing workflows,,KEEP,9
28,manage,Manage code versions and coordinate software releases,,KEEP,9
32,manage,Manage and deploy applications using containerization tools,,KEEP,9
33,manage,Manage and update project dependencies,,KEEP,9
37,manage,Manage and configure staging environments using containerization and deployment tools,,KEEP,9
39,manage,Manage web server security and SSL/TLS configurations,,KEEP,9
42,manage,Manage file storage and retrieval operations across systems,,KEEP,8
44,manage,Manage deployment pipelines and monitor system workflows,,KEEP,8
45,manage,Manage and execute website and domain migration tasks,,KEEP,8
56,manage,Manage API input validation and rate limiting mechanisms,,KEEP,11
57,manage,Manage automated test data generation and database population,,KEEP,11
58,manage,Manage user roles and access control policies,,KEEP,11
60,manage,Manage and execute database migration workflows,,KEEP,9
61,manage,Manage web application firewall configurations and network filtering rules,,KEEP,9
65,manage,Manage and optimize website SEO configurations and metadata,,KEEP,9
67,manage,Manage and configure file storage and access operations,,KEEP,9
70,manage,Manage and automate file and database operations,,KEEP,8
76,manage,Manage user sessions and enforce automatic inactivity handling,,KEEP,8
78,manage,Manage API routes and versions across multiple releases,,KEEP,8
80,manage,Manage multi-container applications with Docker Compose,,KEEP,8
81,manage,Manage logging configurations across multiple runtime environments,,KEEP,8
82,manage,Manage bulk user data transfer and processing,,KEEP,8
83,manage,Manage authentication logs and firewall rules,,KEEP,8
87,manage,Manage form processing and validation workflows with notifications,,KEEP,8
88,manage,Manage and verify user consent data for compliance,,KEEP,8
90,manage,Manage and configure caching for content delivery networks,,KEEP,8
91,manage,Manage and apply encryption for data security,,KEEP,9
94,manage,Manage and update feature toggles in software applications,,KEEP,9
95,manage,Manage and process structured data import workflows,,KEEP,9
96,manage,Manage and monitor API request limits,,KEEP,9
99,manage,Manage deployment states and version rollbacks,,KEEP,9
100,manage,Manage and compile frontend project components,,KEEP,9
101,manage,Manage and configure progressive web application resources,,KEEP,9
102,manage,Manage and analyze frontend build artifacts,,KEEP,9
108,manage,Manage and track software deployment processes,,KEEP,9
109,manage,Manage and execute UI component experiments,,KEEP,8
110,manage,Manage and maintain shared code libraries across projects,,KEEP,6
112,manage,Manage CI/CD pipeline configuration across environments,,KEEP,6
116,manage,Manage database schema migrations and automation processes,,KEEP,6
117,manage,Manage backend logging infrastructure and tools,,KEEP,6
123,manage,Manage and configure web server and proxy settings,,KEEP,9
124,manage,Manage and optimize GraphQL server setup and queries,,KEEP,9
125,manage,Manage role-based access and rendering in a web application,,KEEP,9
128,manage,Manage background job processing infrastructure,,KEEP,9
129,manage,Manage system notification processes and configurations,,KEEP,9
134,manage,Manage feature flag configurations and deployments,,KEEP,8
135,manage,Manage and inspect cross-origin request configurations,,KEEP,8
137,manage,Manage and update project dependencies,,KEEP,8
141,manage,Manage and implement search and indexing workflows for datasets,,KEEP,6
149,manage,Manage software release versions and environment states,,KEEP,6
150,manage,Manage dynamic data retrieval and rendering processes,,KEEP,7
151,manage,Manage database backup and synchronization processes,,KEEP,6
154,manage,Manage server-side data caching and retrieval mechanisms,,KEEP,6
155,manage,Manage and track content versions systematically,,KEEP,6
158,manage,Manage deployment pipelines with environment orchestration,,KEEP,6
160,manage,Manage and maintain deployment documentation and related resources,,KEEP,9
166,manage,Manage authentication and session processes across applications,,KEEP,9
168,manage,Manage and version API documentation for developers,,KEEP,9
169,manage,Manage and enforce web application firewall configurations,,KEEP,9
171,manage,Manage and track SSL certificates for validity and renewal,,KEEP,6
173,manage,Manage and optimize web application asset bundling and delivery,,KEEP,6
176,manage,Manage and configure feature flag deployments across environments,,KEEP,6
178,manage,Manage application deployment and versioning processes,,KEEP,6
180,manage,Manage and synchronize database environments,,KEEP,10
184,manage,Manage and optimize data caching systems,,KEEP,9
186,manage,Manage and maintain a shared design system,,KEEP,9
187,manage,Manage and optimize network load distribution,,KEEP,9
194,manage,Manage web server error page configurations,,KEEP,6
195,manage,Manage bulk user data transfers,,KEEP,6
202,manage,Manage automated web security scanning processes,,KEEP,13
208,manage,Manage and monitor content approval processes,,KEEP,13
214,manage,Manage and test frontend A/B experiments,,KEEP,12
215,manage,Manage and optimize SVG assets for web projects,,KEEP,12
220,manage,Manage and visualize web analytics data,,KEEP,10
221,manage,Manage user roles and access control,,KEEP,10
223,manage,Manage and deploy versioned static assets,,KEEP,10
225,manage,Manage deployment processes and notifications,,KEEP,10
229,manage,Manage cross-origin request configurations,,KEEP,10
230,manage,Manage versioning and integrity of uploaded documents,,KEEP,9
