id,verb,label_original,label_suggere,action
3,manage,Manage and interact with relational and NoSQL database systems,Administer relational and NoSQL database systems,EDIT
8,manage,Manage and synchronize project source code using distributed version control,Synchronize project source code using distributed version control,EDIT
10,manage,Manage automated build and deployment workflows for software applications,Automate build and deployment workflows for software applications,EDIT
25,manage,Manage and execute automated testing workflows,Execute and automate testing workflows,EDIT
28,manage,Manage code versions and coordinate software releases,Version code and coordinate software releases,EDIT
32,manage,Manage and deploy applications using containerization tools,Deploy applications using containerization tools,EDIT
33,manage,Manage and update project dependencies,Update and maintain project dependencies,EDIT
37,manage,Manage and configure staging environments using containerization and deployment tools,Configure staging environments using containerization and deployment tools,EDIT
39,manage,Manage web server security and SSL/TLS configurations,Enforce web server security and SSL/TLS configurations,EDIT
42,manage,Manage file storage and retrieval operations across systems,Organize file storage and retrieval operations across systems,EDIT
44,manage,Manage deployment pipelines and monitor system workflows,Maintain deployment pipelines and track system workflows,EDIT
45,manage,Manage and execute website and domain migration tasks,Execute website and domain migration tasks,EDIT
56,manage,Manage API input validation and rate limiting mechanisms,Enforce API input validation and rate limiting mechanisms,EDIT
57,manage,Manage automated test data generation and database population,Automate test data generation and database population,EDIT
58,manage,Manage user roles and access control policies,Administer user roles and access control policies,EDIT
60,manage,Manage and execute database migration workflows,Execute database migration workflows,EDIT
61,manage,Manage web application firewall configurations and network filtering rules,Enforce web application firewall configurations and network filtering rules,EDIT
65,manage,Manage and optimize website SEO configurations and metadata,Optimize website SEO configurations and metadata,EDIT
67,manage,Manage and configure file storage and access operations,Configure file storage and access operations,EDIT
70,manage,Manage and automate file and database operations,Automate file and database operations,EDIT
76,manage,Manage user sessions and enforce automatic inactivity handling,Administer user sessions and enforce automatic inactivity handling,EDIT
78,manage,Manage API routes and versions across multiple releases,Version and maintain API routes across multiple releases,EDIT
80,manage,Manage multi-container applications with Docker Compose,Orchestrate multi-container applications with Docker Compose,EDIT
81,manage,Manage logging configurations across multiple runtime environments,Configure logging across multiple runtime environments,EDIT
82,manage,Manage bulk user data transfer and processing,Process and transfer bulk user data,EDIT
83,manage,Manage authentication logs and firewall rules,Audit authentication logs and enforce firewall rules,EDIT
87,manage,Manage form processing and validation workflows with notifications,Automate form processing and validation workflows with notifications,EDIT
88,manage,Manage and verify user consent data for compliance,Verify and enforce user consent data for compliance,EDIT
90,manage,Manage and configure caching for content delivery networks,Configure and optimize caching for content delivery networks,EDIT
91,manage,Manage and apply encryption for data security,Apply and enforce encryption for data security,EDIT
94,manage,Manage and update feature toggles in software applications,Update and maintain feature toggles in software applications,EDIT
95,manage,Manage and process structured data import workflows,Process and import structured data workflows,EDIT
96,manage,Manage and monitor API request limits,Track and enforce API request limits,EDIT
99,manage,Manage deployment states and version rollbacks,Maintain deployment states and execute version rollbacks,EDIT
100,manage,Manage and compile frontend project components,Build and compile frontend project components,EDIT
101,manage,Manage and configure progressive web application resources,Configure and maintain progressive web application resources,EDIT
102,manage,Manage and analyze frontend build artifacts,Analyze and optimize frontend build artifacts,EDIT
108,manage,Manage and track software deployment processes,Track and automate software deployment processes,EDIT
109,manage,Manage and execute UI component experiments,Execute and evaluate UI component experiments,EDIT
110,manage,Manage and maintain shared code libraries across projects,Maintain shared code libraries across projects,EDIT
112,manage,Manage CI/CD pipeline configuration across environments,Configure CI/CD pipelines across environments,EDIT
116,manage,Manage database schema migrations and automation processes,Automate database schema migrations,EDIT
117,manage,Manage backend logging infrastructure and tools,Configure and maintain backend logging infrastructure and tools,EDIT
123,manage,Manage and configure web server and proxy settings,Configure web server and proxy settings,EDIT
124,manage,Manage and optimize GraphQL server setup and queries,Optimize GraphQL server setup and queries,EDIT
125,manage,Manage role-based access and rendering in a web application,Enforce role-based access and rendering in a web application,EDIT
128,manage,Manage background job processing infrastructure,Configure and maintain background job processing infrastructure,EDIT
129,manage,Manage system notification processes and configurations,Configure system notification processes,EDIT
134,manage,Manage feature flag configurations and deployments,Configure and deploy feature flags across environments,EDIT
135,manage,Manage and inspect cross-origin request configurations,Inspect and enforce cross-origin request configurations,EDIT
137,manage,Manage and update project dependencies,Update and maintain project dependencies,EDIT
141,manage,Manage and implement search and indexing workflows for datasets,Implement search and indexing workflows for datasets,EDIT
149,manage,Manage software release versions and environment states,Version software releases and maintain environment states,EDIT
150,manage,Manage dynamic data retrieval and rendering processes,Optimize dynamic data retrieval and rendering processes,EDIT
151,manage,Manage database backup and synchronization processes,Automate database backup and synchronization processes,EDIT
154,manage,Manage server-side data caching and retrieval mechanisms,Optimize server-side data caching and retrieval mechanisms,EDIT
155,manage,Manage and track content versions systematically,Track and version content systematically,EDIT
158,manage,Manage deployment pipelines with environment orchestration,Orchestrate deployment pipelines with environment management,EDIT
160,manage,Manage and maintain deployment documentation and related resources,Maintain deployment documentation and related resources,EDIT
166,manage,Manage authentication and session processes across applications,Administer authentication and session processes across applications,EDIT
168,manage,Manage and version API documentation for developers,Version and publish API documentation for developers,EDIT
169,manage,Manage and enforce web application firewall configurations,Enforce web application firewall configurations,EDIT
171,manage,Manage and track SSL certificates for validity and renewal,Track SSL certificates for validity and renewal,EDIT
173,manage,Manage and optimize web application asset bundling and delivery,Optimize web application asset bundling and delivery,EDIT
176,manage,Manage and configure feature flag deployments across environments,Configure and deploy feature flags across environments,EDIT
178,manage,Manage application deployment and versioning processes,Automate application deployment and versioning processes,EDIT
180,manage,Manage and synchronize database environments,Synchronize and maintain database environments,EDIT
184,manage,Manage and optimize data caching systems,Optimize data caching systems,EDIT
186,manage,Manage and maintain a shared design system,Maintain and evolve a shared design system,EDIT
187,manage,Manage and optimize network load distribution,Optimize network load distribution,EDIT
194,manage,Manage web server error page configurations,Configure web server error page responses,EDIT
195,manage,Manage bulk user data transfers,Transfer and process bulk user data,EDIT
202,manage,Manage automated web security scanning processes,Automate web security scanning processes,EDIT
208,manage,Manage and monitor content approval processes,Track and enforce content approval processes,EDIT
214,manage,Manage and test frontend A/B experiments,Execute and evaluate frontend A/B experiments,EDIT
215,manage,Manage and optimize SVG assets for web projects,Optimize SVG assets for web projects,EDIT
220,manage,Manage and visualize web analytics data,Visualize and analyze web analytics data,EDIT
221,manage,Manage user roles and access control,Administer user roles and access control,EDIT
223,manage,Manage and deploy versioned static assets,Deploy and version static assets,EDIT
225,manage,Manage deployment processes and notifications,Automate deployment processes and notifications,EDIT
229,manage,Manage cross-origin request configurations,Enforce and inspect cross-origin request configurations,EDIT
230,manage,Manage versioning and integrity of uploaded documents,Version and validate integrity of uploaded documents,EDIT
233,manage,Manage API request handling and rate control,Enforce API request handling and rate control,EDIT
235,manage,Manage and secure online payment processing,Secure and process online payment transactions,EDIT
239,manage,Manage and organize content with structured tagging,Organize content with structured tagging,EDIT
241,manage,Manage and optimize content delivery networks,Optimize content delivery network performance,EDIT
247,manage,Manage real-time notification delivery and monitoring,Deliver and track real-time notifications,EDIT
248,manage,Manage logging for external service interactions,Configure logging for external service interactions,EDIT
249,manage,Manage continuous deployment workflows,Automate continuous deployment workflows,EDIT
254,manage,Manage and inspect data encryption configurations,Inspect and enforce data encryption configurations,EDIT
259,manage,Manage and inspect third-party service integrations,Inspect and maintain third-party service integrations,EDIT
260,manage,Manage secure authentication and secret storage,Enforce secure authentication and secret storage,EDIT
262,manage,Manage and review cloud IAM configurations,Audit and enforce cloud IAM configurations,EDIT
266,manage,Manage and test multi-factor authentication configurations,Test and enforce multi-factor authentication configurations,EDIT
267,manage,Manage and monitor backup and recovery operations,Automate backup and validate recovery operations,EDIT
268,manage,Manage and audit role-based access controls,Audit and enforce role-based access controls,EDIT
269,manage,Manage and assess dependency configurations,Assess and maintain dependency configurations,EDIT
276,manage,Manage SSL certificates and security configurations,Maintain SSL certificates and enforce security configurations,EDIT
277,manage,Manage session cookie configurations and security,Configure and enforce session cookie security,EDIT
283,manage,Manage and review caching and header configurations,Review and optimize caching and header configurations,EDIT
286,manage,Manage and ensure secure handling of sensitive files,Enforce secure handling of sensitive files,EDIT
288,manage,Manage and monitor feature toggle configurations,Track and enforce feature toggle configurations,EDIT
290,manage,Manage and verify backup encryption processes,Verify and enforce backup encryption processes,EDIT
291,manage,Manage and configure Single Sign-On and federated identity integrations,Configure Single Sign-On and federated identity integrations,EDIT
292,manage,Manage and monitor automated test coverage and gaps,Track and enforce automated test coverage,EDIT
294,manage,Manage and review file permissions for uploaded content storage,Review and enforce file permissions for uploaded content storage,EDIT
295,manage,Manage and analyze logging frameworks for completeness,Analyze logging frameworks for completeness,EDIT
298,manage,Manage rate limiting and quota enforcement,Enforce rate limiting and quota policies,EDIT
396,manage,Manage and assess integration points of external SaaS services,Assess integration points of external SaaS services,EDIT
403,manage,Manage and monitor phishing simulations for resilience validation,Execute and validate phishing simulations for resilience,EDIT
417,manage,Manage and validate encryption key rotation and access controls,Validate and enforce encryption key rotation and access controls,EDIT
433,manage,Manage vendor onboarding security compliance,Enforce vendor onboarding security compliance,EDIT
443,manage,Manage and validate emergency rollback and patch deployment procedures,Validate emergency rollback and patch deployment procedures,EDIT
447,manage,Manage attack surface inventories for accuracy and completeness,Maintain attack surface inventories for accuracy and completeness,EDIT
498,manage,Manage and monitor external sharing controls for sensitive documentation,Audit and enforce external sharing controls for sensitive documentation,EDIT
511,manage,Manage version control for model code and configurations,Version and maintain model code and configurations,EDIT
531,manage,Manage datasets with proper labeling and metadata,Organize datasets with proper labeling and metadata,EDIT
