id,label_original,label_suggere,action
1,Develop and manage a web user interface project using modern frontend frameworks,Develop and maintain a web user interface project using modern frontend frameworks,EDIT
2,Develop and manage backend web services and supporting infrastructure,Develop and deploy backend web services and supporting infrastructure,EDIT
4,Coordinate and manage software project development activities,Coordinate and deliver software project development activities,EDIT
7,Configure and manage application authentication and security mechanisms,Configure and enforce application authentication and security mechanisms,EDIT
19,Configure and manage web content caching and server-side resources,Configure and optimize web content caching and server-side resources,EDIT
20,Develop and manage extensions for a content management system,Develop and publish extensions for a content management system,EDIT
23,Configure and manage web analytics and tracking setups,Set up and configure web analytics and tracking,EDIT
29,Configure and manage email functionalities within applications,Integrate and configure email functionalities within applications,EDIT
30,Configure and manage environment variables and configuration securely,Set up and secure environment variables and configuration,EDIT
36,Configure and manage content delivery network settings for web assets,Set up and optimize content delivery network settings for web assets,EDIT
38,Configure and manage caching services for application performance,Set up and optimize caching services for application performance,EDIT
50,Configure and manage database structure and queries,Set up and maintain database structure and queries,EDIT
51,Configure and manage server-side caching systems,Set up and optimize server-side caching systems,EDIT
53,Configure and manage email notification workflows,Set up and automate email notification workflows,EDIT
54,Configure and manage payment processing and transaction validation,Integrate and validate payment processing and transaction workflows,EDIT
55,Develop and manage performance monitoring dashboards,Build and maintain performance monitoring dashboards,EDIT
62,Configure and manage centralized log collection and visualization,Set up and maintain centralized log collection and visualization,EDIT
66,Configure and manage web search systems and data retrieval operations,Set up and maintain web search systems and data retrieval operations,EDIT
68,Monitor and manage service integration operations,Track and maintain service integration operations,EDIT
74,Configure and manage web push notification workflows,Set up and maintain web push notification workflows,EDIT
77,Monitor and manage server services and resource status,Track and maintain server services and resource status,EDIT
86,Monitor service availability and manage automated notifications,Monitor service availability and automate alert notifications,EDIT
104,Configure and manage code quality and formatting tools,Set up and enforce code quality and formatting tools,EDIT
105,Develop and manage backend middleware components,Build and maintain backend middleware components,EDIT
106,Develop and manage role-based dashboards,Build and maintain role-based dashboards,EDIT
115,Configure and manage routing in single-page applications,Set up and maintain routing in single-page applications,EDIT
119,Generate and manage sample data for testing purposes,Generate and store sample data for testing purposes,EDIT
121,Configure and manage web application theming,Set up and maintain web application theming,EDIT
122,Develop and manage interactive tutorial components,Build and maintain interactive tutorial components,EDIT
127,Develop and manage internal administrative tools,Build and maintain internal administrative tools,EDIT
131,Monitor and manage frontend application errors,Track and diagnose frontend application errors,EDIT
139,Monitor and manage frontend JavaScript error tracking,Track and diagnose frontend JavaScript error tracking,EDIT
144,Build and manage dynamic forms with input validation and step tracking,Build and maintain dynamic forms with input validation and step tracking,EDIT
145,Set up and manage event-driven service integrations,Set up and maintain event-driven service integrations,EDIT
146,Generate and manage PDF documents from application data,Generate and export PDF documents from application data,EDIT
153,Develop and manage form components with validation support,Build and maintain form components with validation support,EDIT
159,Configure and manage search infrastructure with data indexing,Set up and maintain search infrastructure with data indexing,EDIT
161,Configure and manage backend request handling and rate policies,Set up and enforce backend request handling and rate policies,EDIT
163,Configure and manage live chat support systems,Set up and maintain live chat support systems,EDIT
164,Configure email systems and manage automated message delivery,Configure email systems and automate message delivery,EDIT
165,Build and manage user engagement analytics dashboards,Build and maintain user engagement analytics dashboards,EDIT
174,Develop and manage interactive data visualization assets,Build and maintain interactive data visualization assets,EDIT
175,Configure and manage web analytics integrations,Set up and configure web analytics integrations,EDIT
185,Configure and manage web push notification workflows,Set up and maintain web push notification workflows,EDIT
198,Configure and manage continuous integration pipelines,Set up and automate continuous integration pipelines,EDIT
199,Configure and manage marketing analytics tracking,Set up and configure marketing analytics tracking,EDIT
201,Analyze and manage API response data,Analyze and process API response data,EDIT
204,Monitor and manage application logging infrastructure,Set up and maintain application logging infrastructure,EDIT
207,Deploy and manage serverless backend functions,Deploy and maintain serverless backend functions,EDIT
210,Develop and manage multi-tenant web application environments,Build and maintain multi-tenant web application environments,EDIT
211,Configure and manage web push notification systems,Set up and maintain web push notification workflows,EDIT
212,Monitor and manage system metrics and alerts,Track system metrics and respond to alerts,EDIT
217,Execute and manage automated regression test environments,Execute and maintain automated regression test environments,EDIT
218,Implement and manage API authentication mechanisms,Implement and enforce API authentication mechanisms,EDIT
226,Develop and manage reusable UI component libraries,Build and maintain reusable UI component libraries,EDIT
228,Monitor and manage API integration status,Track and maintain API integration status,EDIT
231,Create and manage interactive data visualizations,Create and publish interactive data visualizations,EDIT
237,Automate and manage data validation workflows,Automate and validate data validation workflows,EDIT
256,Inspect and manage user session configurations,Inspect and audit user session configurations,EDIT
257,Monitor and manage file upload processes,Track and troubleshoot file upload processes,EDIT
258,Monitor and manage API rate-limiting and abuse controls,Enforce and track API rate-limiting and abuse controls,EDIT
261,Monitor and manage Docker container configurations,Track and maintain Docker container configurations,EDIT
263,Monitor and manage staging environment configurations,Track and maintain staging environment configurations,EDIT
